# Number of Zones: 1
# Number of Rooms: 1
# Simulation Duration: 2674800 seconds
# Time Step: 600 seconds 
# Number of Time Instances: 4458
# Thermal Capacity of Room (C): 2000 kJ/K 
# Thermal Capacity of SPOT Region (C_): 200 kJ/K 
# Heat Transfer Coefficient for Outside (alpha_o): 0.048 kJ/K.s 
# Heat Transfer Coefficient for Regions (alpha_r): 0.1425 kJ/K.s 
# Heat Load Due to Lightening and Equipments (Q_l): 0.1 kW 
# Heat Load Due to Presence of Occupants (Q_h): 0.1 kW 
# Heat Load of SPOT Unit (Q_s): 0.7 kW 
# Coefficient of Fan Power Consumption (fan_coef): 0.094
# Density of Air (density): 1.225 kg/m3 
# Specific Heat Capacity of Air (specific_heat): 1.003 kJ/kg.K 
# Parameter-1 of Learned PMV Model: 0.2466
# Parameter-2 of Learned PMV Model: 1.4075
# Parameter-3 of Learned PMV Model: 0.581
# Parameter-4 of Learned PMV Model: 5.4668
# Heating Efficiency of AHU: 0.9
# Cooling Efficiency of AHU: 0.9

S_{SPOT}^1, Occupancy^1, T_{HVAC}^1, T_{SPOT}^1, T_{NoSPOT}^1, DeltaT_{SPOT}^1, DeltaT_{NoSPOT}^1, PPV^1, T_{MixedAir}, T_{ext}, P_{AHU}
1, 1, 21, 21, 21, 0, 0, -0.2882, 16.46, -1.7, 1.62894
1, 1, 20.869, 23.269, 20.869, 2.4, 0, 0.271333, 18.2752, -1.7, 1.50503
0, 1, 20.7423, 22.4163, 20.8563, 1.674, 0.114, 0.0610547, 17.593, -1.7, 0.851597
0, 1, 20.6197, 21.8781, 20.6992, 1.25837, 0.079515, -0.0716608, 17.1625, -1.7, 0.880986
0, 1, 20.5012, 21.5216, 20.561, 1.02041, 0.0597723, -0.159568, 16.8773, -1.7, 0.900452
0, 1, 20.3866, 21.2708, 20.435, 0.884187, 0.0484697, -0.22143, 16.6766, -1.7, 0.914151
0, 1, 20.2757, 21.0819, 20.3177, 0.806197, 0.0419989, -0.268003, 16.5255, -1.7, 0.924464
0, 1, 20.1685, 20.93, 20.2068, 0.761548, 0.0382944, -0.305457, 16.404, -1.7, 0.932758
1, 1, 20.0648, 22.9007, 20.1009, 2.83599, 0.0361735, 0.180525, 17.9806, -1.7, 1.52514
1, 1, 19.9645, 23.9881, 20.0992, 4.0236, 0.134709, 0.448655, 18.8504, -1.7, 1.46577
0, 1, 19.8674, 22.471, 20.0586, 2.60351, 0.191121, 0.0745378, 17.6368, -1.7, 0.848611
0, 1, 19.7736, 21.5641, 19.8973, 1.79051, 0.123667, -0.149086, 16.9113, -1.7, 0.898131
0, 1, 19.6829, 21.0079, 19.7679, 1.32507, 0.0850493, -0.286243, 16.4264, -1.9, 0.931234
0, 1, 19.5922, 20.6508, 19.6552, 1.0586, 0.0629407, -0.374307, 16.1407, -1.9, 0.950735
