# Number of Zones: 1
# Number of Rooms: 1
# Simulation Duration: 2674800 seconds
# Time Step: 600 seconds 
# Number of Time Instances: 4458
# Thermal Capacity of Room (C): 2000 kJ/K 
# Thermal Capacity of SPOT Region (C_): 200 kJ/K 
# Heat Transfer Coefficient for Outside (alpha_o): 0.048 kJ/K.s 
# Heat Transfer Coefficient for Regions (alpha_r): 0.1425 kJ/K.s 
# Heat Load Due to Lightening and Equipments (Q_l): 0.1 kW 
# Heat Load Due to Presence of Occupants (Q_h): 0.1 kW 
# Heat Load of SPOT Unit (Q_s): 0.7 kW 
# Coefficient of Fan Power Consumption (fan_coef): 0.094
# Density of Air (density): 1.225 kg/m3 
# Specific Heat Capacity of Air (specific_heat): 1.003 kJ/kg.K 
# Parameter-1 of Learned PMV Model: 0.2466
# Parameter-2 of Learned PMV Model: 1.4075
# Parameter-3 of Learned PMV Model: 0.581
# Parameter-4 of Learned PMV Model: 5.4668
# Heating Efficiency of AHU: 0.9
# Cooling Efficiency of AHU: 0.9

S_{SPOT}^1, Occupancy^1, T_{HVAC}^1, T_{SPOT}^1, T_{NoSPOT}^1, DeltaT_{SPOT}^1, DeltaT_{NoSPOT}^1, PPV^1, T_{MixedAir}, T_{ext}, P_{AHU}
1, 1, 21, 21, 21, 0, 0, -0.2882, 16.46, -1.7, 1.62894
1, 1, 20.869, 23.269, 20.869, 2.4, 0, 0.271333, 18.2752, -1.7, 1.50503
1, 1, 20.7423, 24.5163, 20.8563, 3.774, 0.114, 0.578915, 19.273, -1.7, 1.43692
1, 1, 20.6197, 25.1803, 20.799, 4.56062, 0.179265, 0.742674, 19.8043, -1.7, 1.40066
1, 1, 20.5012, 25.5122, 20.7178, 5.01095, 0.216629, 0.824499, 20.0697, -1.7, 1.38254
1, 1, 20.3866, 25.6553, 20.6246, 5.26877, 0.23802, 0.859808, 20.1843, -1.7, 1.37472
1, 1, 20.2757, 25.6921, 20.526, 5.41637, 0.250267, 0.868866, 20.2137, -1.7, 1.37271
1, 1, 20.1685, 25.6693, 20.4258, 5.50087, 0.257278, 0.863261, 20.1955, -1.7, 1.37395
1, 1, 20.0648, 25.614, 20.3261, 5.54925, 0.261291, 0.849616, 20.1512, -1.7, 1.37698
1, 1, 19.9645, 25.5414, 20.228, 5.57695, 0.263589, 0.83171, 20.0931, -1.7, 1.38094
1, 1, 19.8674, 25.4602, 20.1323, 5.5928, 0.264905, 0.811697, 20.0282, -1.7, 1.38537
1, 1, 19.7736, 25.3755, 20.0393, 5.60188, 0.265658, 0.790798, 19.9604, -1.7, 1.39
1, 1, 19.6829, 25.2899, 19.949, 5.60708, 0.266089, 0.7697, 19.852, -1.9, 1.3974
1, 1, 19.5922, 25.2023, 19.8586, 5.61005, 0.266336, 0.74808, 19.7818, -1.9, 1.40219
1, 1, 19.5046, 25.1163, 19.771, 5.61175, 0.266477, 0.72688, 19.713, -1.9, 1.40688
