# Number of Zones: 1
# Number of Rooms: 1
# Simulation Duration: 14400 seconds
# Time Step: 600 seconds 
# Number of Time Instances: 24
# Thermal Capacity of Room (C): 2000 kJ/K 
# Thermal Capacity of SPOT Region (C_): 200 kJ/K 
# Heat Transfer Coefficient for Outside (alpha_o): 0.048 kJ/K.s 
# Heat Transfer Coefficient for Regions (alpha_r): 0.1425 kJ/K.s 
# Heat Load Due to Lightening and Equipments (Q_l): 0.1 kW 
# Heat Load Due to Presence of Occupants (Q_h): 0.1 kW 
# Heat Load of SPOT Unit (Q_s): 0.7 kW 
# Coefficient of Fan Power Consumption (fan_coef): 0.094
# Density of Air (density): 1.225 kg/m3 
# Specific Heat Capacity of Air (specific_heat): 1.003 kJ/kg.K 
# Parameter-1 of Learned PMV Model: 0.2466
# Parameter-2 of Learned PMV Model: 1.4075
# Parameter-3 of Learned PMV Model: 0.581
# Parameter-4 of Learned PMV Model: 5.4668
# Heating Efficiency of AHU: 0.9
# Cooling Efficiency of AHU: 0.9

S_{SPOT}^1, Occupancy^1, T_{HVAC}^1, T_{SPOT}^1, T_{NoSPOT}^1, DeltaT_{SPOT}^1, DeltaT_{NoSPOT}^1, PPV^1, T_{MixedAir}, T_{ext}, P_{AHU}
1, 1, 21, 21, 21, 0, 0, -0.2882, 17.8, 5, 1.53747
0, 1, 20, 20.3, 20, 0.3, 0, -0.46082, 17.24, 5, -1.70158
0, 1, 19.0906, 19.5623, 19.1048, 0.47175, 0.01425, -0.64273, 16.6499, 5, -1.53426
0, 1, 18.2701, 18.8401, 18.2925, 0.570077, 0.0224081, -0.820822, 16.0721, 5, -1.3542
0, 1, 17.533, 18.1594, 17.5601, 0.626369, 0.0270787, -0.988688, 15.5275, 5, -1.17663
0, 1, 16.8727, 17.5313, 16.9025, 0.658596, 0.0297525, -1.14358, 15.025, 5, -1.00894
0, 1, 16.2819, 16.9589, 16.3132, 0.677046, 0.0312833, -1.28473, 14.5671, 5, -0.854233
0, 1, 15.7537, 16.4413, 15.7859, 0.687609, 0.0321597, -1.41237, 14.1531, 5, -0.713395
0, 1, 15.2817, 15.9754, 15.3144, 0.693656, 0.0326614, -1.52727, 13.7803, 5, -0.586164
0, 1, 14.8601, 15.5572, 14.893, 0.697118, 0.0329487, -1.63039, 13.4458, 5, -0.471749
0, 1, 14.4835, 15.1826, 14.5166, 0.6991, 0.0331131, -1.72277, 13.1461, 5, -0.36914
0, 1, 14.1471, 14.8474, 14.1803, 0.700235, 0.0332073, -1.80544, 12.8779, 5, -0.277269
0, 1, 13.8467, 14.5476, 13.88, 0.700884, 0.0332612, -1.87936, 12.6381, 5, -0.195094
0, 1, 13.5784, 14.2797, 13.6117, 0.701256, 0.033292, -1.94543, 12.4237, 5, -0.121637
0, 1, 13.3388, 14.0403, 13.3721, 0.701469, 0.0333097, -2.00447, 12.2322, 5, -0.0559961
0, 1, 13.1248, 13.8264, 13.1581, 0.701591, 0.0333198, -2.0572, 12.0611, 5, 0.0026456
0, 1, 12.9337, 13.6354, 12.9671, 0.701661, 0.0333256, -2.10431, 11.9083, 5, 0.0550282
0, 1, 12.7631, 13.4648, 12.7964, 0.701701, 0.0333289, -2.14639, 11.7718, 5, 0.101815
0, 1, 12.6107, 13.3124, 12.644, 0.701724, 0.0333308, -2.18397, 11.6499, 5, 0.143602
0, 1, 12.4746, 13.1763, 12.5079, 0.701737, 0.0333319, -2.21753, 11.541, 5, 0.180921
0, 1, 12.353, 13.0547, 12.3863, 0.701744, 0.0333325, -2.2475, 11.4438, 5, 0.214252
0, 1, 12.2444, 12.9462, 12.2778, 0.701749, 0.0333329, -2.27427, 11.357, 5, 0.244018
0, 1, 12.1475, 12.8493, 12.1808, 0.701751, 0.0333331, -2.29817, 11.2794, 5, 0.2706
0, 1, 12.0609, 12.7627, 12.0943, 0.701753, 0.0333332, -2.31952, 11.2101, 5, 0.29434
