# Number of Zones: 1
# Number of Rooms: 1
# Simulation Duration: 2674800 seconds
# Time Step: 600 seconds 
# Number of Time Instances: 4458
# Thermal Capacity of Room (C): 2000 kJ/K 
# Thermal Capacity of SPOT Region (C_): 200 kJ/K 
# Heat Transfer Coefficient for Outside (alpha_o): 0.048 kJ/K.s 
# Heat Transfer Coefficient for Regions (alpha_r): 0.1425 kJ/K.s 
# Heat Load Due to Lightening and Equipments (Q_l): 0.1 kW 
# Heat Load Due to Presence of Occupants (Q_h): 0.1 kW 
# Heat Load of SPOT Unit (Q_s): 0.7 kW 
# Coefficient of Fan Power Consumption (fan_coef): 0.094
# Density of Air (density): 1.225 kg/m3 
# Specific Heat Capacity of Air (specific_heat): 1.003 kJ/kg.K 
# Parameter-1 of Learned PMV Model: 0.2466
# Parameter-2 of Learned PMV Model: 1.4075
# Parameter-3 of Learned PMV Model: 0.581
# Parameter-4 of Learned PMV Model: 5.4668
# Heating Efficiency of AHU: 0.9
# Cooling Efficiency of AHU: 0.9

S_{SPOT}^1, Occupancy^1, T_{HVAC}^1, T_{SPOT}^1, T_{NoSPOT}^1, DeltaT_{SPOT}^1, DeltaT_{NoSPOT}^1, PPV^1, T_{MixedAir}, T_{ext}, P_{AHU}
1, -1.7, 21, 21, 21, 0, 0, -0.2882, 16.46, -1.7, 1.62894
1, -1.7, 20.788, 22.378, 20.788, 1.59, 0, 0.0516123, 17.5624, -1.7, 1.55369
1, -1.7, 20.5829, 23.0832, 20.6585, 2.50027, 0.075525, 0.225521, 18.1266, -1.7, 1.51518
1, -1.7, 20.3846, 23.406, 20.5034, 3.02141, 0.118763, 0.305127, 18.3848, -1.7, 1.49755
1, -1.7, 20.1928, 23.5126, 20.3363, 3.31976, 0.143517, 0.331401, 18.4701, -1.7, 1.49173
1, -1.7, 20.0073, 23.4979, 20.165, 3.49056, 0.157688, 0.327775, 18.4583, -1.7, 1.49253
1, -1.7, 19.8279, 23.4162, 19.9937, 3.58835, 0.165802, 0.307644, 18.393, -1.7, 1.49699
1, -1.7, 19.6544, 23.2987, 19.8248, 3.64433, 0.170446, 0.278657, 18.299, -1.7, 1.50341
1, -1.7, 19.4865, 23.1629, 19.6596, 3.67638, 0.173106, 0.245173, 18.1903, -1.7, 1.51083
1, -1.7, 19.3242, 23.0189, 19.4988, 3.69473, 0.174628, 0.209669, 18.0751, -1.7, 1.51869
1, -1.7, 19.1672, 22.8724, 19.3427, 3.70523, 0.175499, 0.173546, 17.958, -1.7, 1.52669
1, -1.7, 19.0154, 22.7266, 19.1914, 3.71124, 0.175998, 0.137585, 17.8413, -1.7, 1.53465
1, -1.9, 18.8685, 22.5832, 19.0448, 3.71469, 0.176284, 0.10222, 17.6866, -1.9, 1.54521
1, -1.9, 18.7176, 22.3743, 18.8941, 3.65666, 0.176448, 0.0506952, 17.5194, -1.9, 1.55662
1, -1.9, 18.5717, 22.1951, 18.7453, 3.62344, 0.173691, 0.00650933, 17.3761, -1.9, 1.56641
1, -1.9, 18.4305, 22.0349, 18.6026, 3.60442, 0.172113, -0.0329918, 17.2479, -1.9, 1.57515
1, -1.9, 18.294, 21.8875, 18.4652, 3.59353, 0.17121, -0.0693458, 17.13, -1.9, 1.5832
1, -1.9, 18.1619, 21.7492, 18.3326, 3.5873, 0.170693, -0.103446, 17.0194, -1.9, 1.59075
1, -2, 18.0342, 21.6179, 18.2046, 3.58373, 0.170397, -0.135821, 16.8943, -2, 1.59929
1, -2, 17.9062, 21.4579, 18.0765, 3.55168, 0.170227, -0.175278, 16.7663, -2, 1.60803
1, -2, 17.7825, 21.3158, 17.9512, 3.53334, 0.168705, -0.210321, 16.6526, -2, 1.61579
1, -2, 17.6628, 21.1856, 17.8306, 3.52284, 0.167834, -0.242428, 16.5485, -2, 1.6229
1, -2, 17.547, 21.0638, 17.7143, 3.51682, 0.167335, -0.272459, 16.4511, -2, 1.62955
1, -2, 17.435, 20.9484, 17.6021, 3.51338, 0.167049, -0.300919, 16.3587, -2, 1.63585
1, -2.2, 17.3267, 20.8382, 17.4936, 3.51141, 0.166886, -0.32811, 16.2305, -2.2, 1.6446
1, -2.2, 17.2131, 20.6634, 17.3799, 3.45028, 0.166792, -0.371202, 16.0907, -2.2, 1.65414
1, -2.2, 17.1032, 20.5185, 17.2671, 3.41529, 0.163888, -0.40693, 15.9748, -2.2, 1.66205
1, -2.2, 16.997, 20.3922, 17.1592, 3.39525, 0.162226, -0.438079, 15.8738, -2.2, 1.66895
1, -2.2, 16.8942, 20.278, 17.0555, 3.38378, 0.161274, -0.466255, 15.7824, -2.2, 1.67519
1, -2.2, 16.7948, 20.172, 16.9555, 3.37721, 0.16073, -0.49239, 15.6976, -2.2, 1.68098
1, -2.4, 16.6986, 20.0721, 16.859, 3.37346, 0.160418, -0.517027, 15.5777, -2.4, 1.68917
1, -2.4, 16.5967, 19.908, 16.757, 3.3113, 0.160239, -0.557476, 15.4464, -2.4, 1.69812
1, -2.4, 16.4982, 19.7739, 16.6555, 3.27572, 0.157287, -0.590548, 15.3391, -2.4, 1.70545
1, -2.4, 16.4029, 19.6583, 16.5585, 3.25535, 0.155597, -0.619071, 15.2466, -2.4, 1.71176
1, -2.4, 16.3108, 19.5544, 16.4654, 3.24369, 0.154629, -0.644675, 15.1636, -2.4, 1.71743
1, -2.4, 16.2216, 19.4586, 16.3757, 3.23701, 0.154075, -0.668304, 15.0869, -2.4, 1.72266
1, -2.5, 16.1354, 19.3686, 16.2892, 3.23319, 0.153758, -0.690507, 14.9949, -2.5, 1.72895
1, -2.5, 16.0476, 19.2486, 16.2012, 3.201, 0.153576, -0.720102, 14.8989, -2.5, 1.7355
1, -2.5, 15.9626, 19.1452, 16.1147, 3.18257, 0.152048, -0.745592, 14.8162, -2.5, 1.74114
1, -2.5, 15.8805, 19.0525, 16.0317, 3.17202, 0.151172, -0.768452, 14.742, -2.5, 1.74621
1, -2.5, 15.801, 18.967, 15.9517, 3.16598, 0.150671, -0.789535, 14.6736, -2.5, 1.75088
1, -2.5, 15.7242, 18.8867, 15.8746, 3.16252, 0.150384, -0.809338, 14.6094, -2.5, 1.75526
1, -2.6, 15.6499, 18.8104, 15.8001, 3.16055, 0.15022, -0.828154, 14.5283, -2.6, 1.76079
1, -2.6, 15.5735, 18.7029, 15.7237, 3.12941, 0.150126, -0.854653, 14.4424, -2.6, 1.76666
1, -2.6, 15.4997, 18.6113, 15.6484, 3.11159, 0.148647, -0.877252, 14.369, -2.6, 1.77166
1, -2.6, 15.4283, 18.5297, 15.5761, 3.10138, 0.1478, -0.897374, 14.3038, -2.6, 1.77612
1, -2.6, 15.3593, 18.4548, 15.5066, 3.09554, 0.147316, -0.915842, 14.2439, -2.6, 1.78021
1, -2.6, 15.2925, 18.3847, 15.4395, 3.0922, 0.147038, -0.933136, 14.1878, -2.6, 1.78404
1, -3.2, 15.2279, 18.3182, 15.3748, 3.09028, 0.146879, -0.949536, 14.0145, -3.2, 1.79586
1, -3.2, 15.1388, 18.048, 15.2856, 2.90919, 0.146788, -1.01617, 13.7984, -3.2, 1.81062
1, -3.2, 15.0526, 17.8581, 15.1908, 2.80551, 0.138186, -1.06299, 13.6465, -3.2, 1.82099
